month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
June 2015,-0.33,,-1.28,,-1.46,,-1.66,,,,0.17,-1.07,-1.09,-1.93,-1.94,-0.71,-0.76,-2.80,-2.83
May 2015,0.30,,0.62,,0.72,,0.78,,,,0.17,-0.26,-0.24,1.29,1.29,1.84,1.83,-0.42,-0.51
April 2015,0.37,,0.95,,1.00,,1.16,,,,0.15,-0.28,-0.36,0.96,0.96,-1.50,-1.55,4.11,4.08
March 2015,-0.07,,-0.58,,-0.64,,-0.76,,,,0.16,0.47,0.46,-1.57,-1.58,1.24,1.23,-1.43,-1.52
February 2015,1.19,,3.80,,4.39,,4.99,,,,0.13,-0.91,-0.94,5.75,5.75,6.05,6.03,5.97,5.98
January 2015,-0.08,,-0.83,,-1.02,,-1.18,,,,0.18,2.13,2.10,-2.99,-3.00,-1.85,-1.89,1.19,0.49
December 2014,-0.04,,-0.67,,-0.76,,-0.94,,,,0.18,0.21,0.09,-0.24,-0.25,0.99,0.97,-4.13,-3.46
November 2014,0.55,,1.27,,1.42,,1.55,,,,0.17,0.74,0.70,2.70,2.69,1.33,1.33,0.51,1.36
October 2014,0.61,,1.36,,1.58,,1.70,,,,0.20,0.96,0.98,2.45,2.44,4.11,4.04,-0.63,-1.45
September 2014,-0.42,,-1.84,,-2.18,,-2.50,,,,0.18,-0.58,-0.68,-1.40,-1.40,-5.10,-5.08,-3.82,-3.84
August 2014,0.84,,2.07,,2.40,,2.61,,,,0.20,1.12,1.10,4.01,4.00,4.98,4.95,-0.14,-0.15
July 2014,-0.26,,-1.34,,-1.63,,-1.86,,,,0.19,-0.19,-0.25,-1.37,-1.38,-4.38,-4.44,-1.95,-1.97
June 2014,0.58,,1.52,,1.77,,1.96,,,,0.19,0.14,0.05,2.07,2.07,4.45,4.44,0.99,0.96
